"date","year","month_of_year","month","city","country","max_temp_c","min_temp_c","avg_temp_c"
2024-02-06,2024.0,February ,2.0,Berlin,Germany,10.90,6.10,9.40
2024-02-02,2024.0,February ,2.0,Berlin,Germany,8.20,2.60,4.90
2024-02-09,2024.0,February ,2.0,Berlin,Germany,6.90,1.50,3.80
2024-02-05,2024.0,February ,2.0,Berlin,Germany,10.30,8.30,9.60
2024-02-28,2024.0,February ,2.0,Berlin,Germany,9.00,1.60,5.00
2024-02-04,2024.0,February ,2.0,Berlin,Germany,8.60,6.40,7.60
2024-02-03,2024.0,February ,2.0,Berlin,Germany,9.70,8.50,9.20
2024-02-12,2024.0,February ,2.0,Berlin,Germany,8.90,5.40,7.10
2024-02-22,2024.0,February ,2.0,Berlin,Germany,10.80,7.20,8.60
2024-02-21,2024.0,February ,2.0,Berlin,Germany,10.60,6.60,8.30
2024-02-20,2024.0,February ,2.0,Berlin,Germany,7.90,6.50,7.00
2024-02-25,2024.0,February ,2.0,Berlin,Germany,11.30,3.60,6.70
2024-02-16,2024.0,February ,2.0,Berlin,Germany,14.70,7.90,10.80
2024-02-11,2024.0,February ,2.0,Berlin,Germany,7.20,6.10,6.80
2024-02-17,2024.0,February ,2.0,Berlin,Germany,11.50,4.60,8.70
2024-02-08,2024.0,February ,2.0,Berlin,Germany,3.90,1.70,2.40
2024-02-14,2024.0,February ,2.0,Berlin,Germany,8.80,3.70,6.30
2024-02-19,2024.0,February ,2.0,Berlin,Germany,8.20,6.40,7.50
2024-02-18,2024.0,February ,2.0,Berlin,Germany,9.80,3.40,6.40
2024-02-10,2024.0,February ,2.0,Berlin,Germany,9.50,5.80,7.20
2024-03-02,2024.0,March    ,3.0,Berlin,Germany,12.60,8.00,9.20
2024-03-09,2024.0,March    ,3.0,Berlin,Germany,10.40,1.70,5.70
2024-03-14,2024.0,March    ,3.0,Berlin,Germany,14.90,8.90,11.40
2024-03-30,2024.0,March    ,3.0,Berlin,Germany,20.80,8.10,14.00
2024-03-01,2024.0,March    ,3.0,Berlin,Germany,13.60,5.80,9.20
2024-03-13,2024.0,March    ,3.0,Berlin,Germany,13.10,6.30,9.70
2024-03-23,2024.0,March    ,3.0,Berlin,Germany,9.20,4.20,6.50
2024-03-18,2024.0,March    ,3.0,Berlin,Germany,7.90,-0.10,3.70
2024-03-11,2024.0,March    ,3.0,Berlin,Germany,12.70,8.30,9.60
2024-03-27,2024.0,March    ,3.0,Berlin,Germany,17.20,5.20,11.10
2024-03-07,2024.0,March    ,3.0,Berlin,Germany,7.70,2.00,4.90
2024-03-29,2024.0,March    ,3.0,Berlin,Germany,15.40,5.40,10.50
2024-03-19,2024.0,March    ,3.0,Berlin,Germany,10.20,0.30,5.20
2024-03-05,2024.0,March    ,3.0,Berlin,Germany,7.70,2.50,4.80
2024-03-24,2024.0,March    ,3.0,Berlin,Germany,7.00,2.00,4.50
2024-03-22,2024.0,March    ,3.0,Berlin,Germany,13.00,6.50,9.40
2024-03-17,2024.0,March    ,3.0,Berlin,Germany,9.10,2.60,5.50
2024-03-25,2024.0,March    ,3.0,Berlin,Germany,6.50,3.70,5.30
2024-03-10,2024.0,March    ,3.0,Berlin,Germany,11.90,4.50,8.40
2024-03-15,2024.0,March    ,3.0,Berlin,Germany,17.70,9.40,12.30
